===================
	  Java项目分析报告
===================

1. 类 / 接口汇总
------------------
类 org.apache.commons.math4.core.jdkmath.AccurateMath   [50字段, 87方法, 注释率31%]
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: doTestInsertWrongEquationData
    参数个数: 1
    代码行数: 10
    圈复杂度: 1

  方法: testNegativeIndex
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: doTestNegativeIndex
    参数个数: 1
    代码行数: 7
    圈复杂度: 1

  方法: testTooLargeIndex
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: doTestTooLargeIndex
    参数个数: 1
    代码行数: 7
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.FirstOrderConverterTest (共5个方法):
该类的圈复杂度: 8       注释率: 0%
  方法: testDoubleDimension
    参数个数: 0
    代码行数: 7
    圈复杂度: 2

  方法: testDecreasingSteps
    参数个数: 0
    代码行数: 14
    圈复杂度: 3

  方法: testSmallStep
    参数个数: 0
    代码行数: 5
    圈复杂度: 1

  方法: testBigStep
    参数个数: 0
    代码行数: 5
    圈复杂度: 1

  方法: integrateWithSpecifiedStep
    参数个数: 4
    代码行数: 9
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.JacobianMatricesTest (共7个方法):
该类的圈复杂度: 23       注释率: 3%
  方法: testLowAccuracyExternalDifferentiation
    参数个数: 0
    代码行数: 29
    圈复杂度: 2

  方法: testHighAccuracyExternalDifferentiation
    参数个数: 0
    代码行数: 25
    圈复杂度: 2

  方法: testWrongParameterName
    参数个数: 0
    代码行数: 11
    圈复杂度: 2

  方法: testInternalDifferentiation
    参数个数: 0
    代码行数: 40
    圈复杂度: 2

  方法: testAnalyticalDifferentiation
    参数个数: 0
    代码行数: 35
    圈复杂度: 2

  方法: testFinalResult
    参数个数: 0
    代码行数: 51
    圈复杂度: 7

  方法: testParameterizable
    参数个数: 0
    代码行数: 56
    圈复杂度: 6

org.apache.commons.math4.legacy.ode.nonstiff.AbstractEmbeddedRungeKuttaFieldIntegratorTest (共26个方法):
该类的圈复杂度: 49       注释率: 3%
  方法: createIntegrator
    参数个数: 5
    代码行数: 0
    圈复杂度: 1

  方法: createIntegrator
    参数个数: 5
    代码行数: 0
    圈复杂度: 1

  方法: testNonFieldIntegratorConsistency
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestNonFieldIntegratorConsistency
    参数个数: 1
    代码行数: 57
    圈复杂度: 8

  方法: checkArray
    参数个数: 2
    代码行数: 10
    圈复杂度: 3

  方法: testForwardBackwardExceptions
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestForwardBackwardExceptions
    参数个数: 1
    代码行数: 44
    圈复杂度: 4

  方法: testMinStep
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestMinStep
    参数个数: 1
    代码行数: 15
    圈复杂度: 1

  方法: testIncreasingTolerance
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestIncreasingTolerance
    参数个数: 3
    代码行数: 25
    圈复杂度: 2

  方法: testEvents
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestEvents
    参数个数: 3
    代码行数: 27
    圈复杂度: 2

  方法: testEventsErrors
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestEventsErrors
    参数个数: 1
    代码行数: 37
    圈复杂度: 2

  方法: testEventsNoConvergence
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestEventsNoConvergence
    参数个数: 1
    代码行数: 40
    圈复杂度: 3

  方法: testSanityChecks
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestSanityChecks
    参数个数: 1
    代码行数: 32
    圈复杂度: 4

  方法: testBackward
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestBackward
    参数个数: 5
    代码行数: 20
    圈复杂度: 1

  方法: testKepler
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestKepler
    参数个数: 2
    代码行数: 13
    圈复杂度: 1

  方法: testPartialDerivatives
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestPartialDerivatives
    参数个数: 2
    代码行数: 42
    圈复杂度: 4

  方法: dYdP
    参数个数: 2
    代码行数: 5
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.AbstractRungeKuttaFieldIntegratorTest (共31个方法):
该类的圈复杂度: 55       注释率: 2%
  方法: createIntegrator
    参数个数: 2
    代码行数: 0
    圈复杂度: 1

  方法: testNonFieldIntegratorConsistency
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestNonFieldIntegratorConsistency
    参数个数: 1
    代码行数: 43
    圈复杂度: 7

  方法: checkArray
    参数个数: 2
    代码行数: 10
    圈复杂度: 3

  方法: testMissedEndEvent
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestMissedEndEvent
    参数个数: 3
    代码行数: 79
    圈复杂度: 5

  方法: testSanityChecks
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestSanityChecks
    参数个数: 1
    代码行数: 19
    圈复杂度: 3

  方法: testDecreasingSteps
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestDecreasingSteps
    参数个数: 4
    代码行数: 52
    圈复杂度: 6

  方法: testSmallStep
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestSmallStep
    参数个数: 5
    代码行数: 15
    圈复杂度: 1

  方法: testBigStep
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestBigStep
    参数个数: 5
    代码行数: 15
    圈复杂度: 1

  方法: testBackward
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestBackward
    参数个数: 5
    代码行数: 15
    圈复杂度: 1

  方法: testKepler
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestKepler
    参数个数: 3
    代码行数: 9
    圈复杂度: 1

  方法: testStepSize
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestStepSize
    参数个数: 2
    代码行数: 32
    圈复杂度: 2

  方法: testSingleStep
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestSingleStep
    参数个数: 2
    代码行数: 18
    圈复杂度: 2

  方法: testTooLargeFirstStep
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestTooLargeFirstStep
    参数个数: 1
    代码行数: 30
    圈复杂度: 1

  方法: testUnstableDerivative
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestUnstableDerivative
    参数个数: 2
    代码行数: 12
    圈复杂度: 1

  方法: testDerivativesConsistency
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestDerivativesConsistency
    参数个数: 2
    代码行数: 6
    圈复杂度: 1

  方法: testPartialDerivatives
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestPartialDerivatives
    参数个数: 2
    代码行数: 42
    圈复杂度: 4

  方法: dYdP
    参数个数: 2
    代码行数: 5
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.AdamsBashforthFieldIntegratorTest (共8个方法):
该类的圈复杂度: 8       注释率: 5%
  方法: createIntegrator
    参数个数: 6
    代码行数: 4
    圈复杂度: 1

  方法: createIntegrator
    参数个数: 6
    代码行数: 4
    圈复杂度: 1

  方法: testMinStep
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testIncreasingTolerance
    参数个数: 0
    代码行数: 6
    圈复杂度: 1

  方法: exceedMaxEvaluations
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: backward
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: polynomial
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testStartFailure
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.AdamsBashforthIntegratorTest (共7个方法):
该类的圈复杂度: 10       注释率: 1%
  方法: dimensionCheck
    参数个数: 0
    代码行数: 8
    圈复杂度: 1

  方法: testMinStep
    参数个数: 0
    代码行数: 17
    圈复杂度: 1

  方法: testIncreasingTolerance
    参数个数: 0
    代码行数: 31
    圈复杂度: 2

  方法: exceedMaxEvaluations
    参数个数: 0
    代码行数: 13
    圈复杂度: 1

  方法: backward
    参数个数: 0
    代码行数: 17
    圈复杂度: 1

  方法: polynomial
    参数个数: 0
    代码行数: 19
    圈复杂度: 3

  方法: testStartFailure
    参数个数: 0
    代码行数: 20
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.AdamsFieldIntegratorAbstractTest (共14个方法):
该类的圈复杂度: 17       注释率: 0%
  方法: createIntegrator
    参数个数: 6
    代码行数: 0
    圈复杂度: 1

  方法: createIntegrator
    参数个数: 6
    代码行数: 0
    圈复杂度: 1

  方法: testMinStep
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doDimensionCheck
    参数个数: 1
    代码行数: 15
    圈复杂度: 1

  方法: testIncreasingTolerance
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestIncreasingTolerance
    参数个数: 3
    代码行数: 26
    圈复杂度: 2

  方法: exceedMaxEvaluations
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doExceedMaxEvaluations
    参数个数: 2
    代码行数: 11
    圈复杂度: 1

  方法: backward
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doBackward
    参数个数: 5
    代码行数: 15
    圈复杂度: 1

  方法: polynomial
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doPolynomial
    参数个数: 4
    代码行数: 17
    圈复杂度: 3

  方法: testStartFailure
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: doTestStartFailure
    参数个数: 1
    代码行数: 15
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.AdamsMoultonFieldIntegratorTest (共8个方法):
该类的圈复杂度: 8       注释率: 5%
  方法: createIntegrator
    参数个数: 6
    代码行数: 4
    圈复杂度: 1

  方法: createIntegrator
    参数个数: 6
    代码行数: 4
    圈复杂度: 1

  方法: testMinStep
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testIncreasingTolerance
    参数个数: 0
    代码行数: 6
    圈复杂度: 1

  方法: exceedMaxEvaluations
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: backward
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: polynomial
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testStartFailure
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.AdamsMoultonIntegratorTest (共6个方法):
该类的圈复杂度: 9       注释率: 1%
  方法: dimensionCheck
    参数个数: 0
    代码行数: 8
    圈复杂度: 1

  方法: testMinStep
    参数个数: 0
    代码行数: 17
    圈复杂度: 1

  方法: testIncreasingTolerance
    参数个数: 0
    代码行数: 32
    圈复杂度: 2

  方法: exceedMaxEvaluations
    参数个数: 0
    代码行数: 13
    圈复杂度: 1

  方法: backward
    参数个数: 0
    代码行数: 16
    圈复杂度: 1

  方法: polynomial
    参数个数: 0
    代码行数: 19
    圈复杂度: 3

org.apache.commons.math4.legacy.ode.nonstiff.AdamsNordsieckTransformerTest (共8个方法):
该类的圈复杂度: 10       注释率: 11%
  方法: testPolynomialExtraDerivative
    参数个数: 0
    代码行数: 4
    圈复杂度: 1

  方法: testPolynomialRegular
    参数个数: 0
    代码行数: 4
    圈复杂度: 1

  方法: testPolynomialMissingLastDerivative
    参数个数: 0
    代码行数: 6
    圈复杂度: 1

  方法: testTransformExact
    参数个数: 0
    代码行数: 7
    圈复杂度: 1

  方法: testTransformInexact
    参数个数: 0
    代码行数: 7
    圈复杂度: 1

  方法: checkNordsieckStart
    参数个数: 5
    代码行数: 14
    圈复杂度: 2

  方法: checkTransform
    参数个数: 3
    代码行数: 16
    圈复杂度: 1

  方法: start
    参数个数: 6
    代码行数: 14
    圈复杂度: 2

org.apache.commons.math4.legacy.ode.nonstiff.ClassicalRungeKuttaFieldIntegratorTest (共15个方法):
该类的圈复杂度: 15       注释率: 0%
  方法: createIntegrator
    参数个数: 2
    代码行数: 3
    圈复杂度: 1

  方法: testNonFieldIntegratorConsistency
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testMissedEndEvent
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testSanityChecks
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testDecreasingSteps
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testSmallStep
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testBigStep
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testBackward
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testKepler
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testStepSize
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testSingleStep
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testTooLargeFirstStep
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testUnstableDerivative
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testDerivativesConsistency
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testPartialDerivatives
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.ClassicalRungeKuttaIntegratorTest (共9个方法):
该类的圈复杂度: 22       注释率: 1%
  方法: testMissedEndEvent
    参数个数: 0
    代码行数: 60
    圈复杂度: 5

  方法: testSanityChecks
    参数个数: 0
    代码行数: 26
    圈复杂度: 4

  方法: testDecreasingSteps
    参数个数: 0
    代码行数: 45
    圈复杂度: 6

  方法: testSmallStep
    参数个数: 0
    代码行数: 16
    圈复杂度: 1

  方法: testBigStep
    参数个数: 0
    代码行数: 15
    圈复杂度: 1

  方法: testBackward
    参数个数: 0
    代码行数: 16
    圈复杂度: 1

  方法: testKepler
    参数个数: 0
    代码行数: 11
    圈复杂度: 1

  方法: testStepSize
    参数个数: 0
    代码行数: 27
    圈复杂度: 2

  方法: testTooLargeFirstStep
    参数个数: 0
    代码行数: 22
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.ClassicalRungeKuttaStepInterpolatorTest (共2个方法):
该类的圈复杂度: 4       注释率: 0%
  方法: derivativesConsistency
    参数个数: 0
    代码行数: 6
    圈复杂度: 1

  方法: serialization
    参数个数: 0
    代码行数: 41
    圈复杂度: 3

org.apache.commons.math4.legacy.ode.nonstiff.ClassicalRungKuttaFieldStepInterpolatorTest (共5个方法):
该类的圈复杂度: 5       注释率: 0%
  方法: createInterpolator
    参数个数: 8
    代码行数: 6
    圈复杂度: 1

  方法: createButcherArrayProvider
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: interpolationAtBounds
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: interpolationInside
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: nonFieldInterpolatorConsistency
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.Decimal64 (共69个方法):
该类的圈复杂度: 75       注释率: 40%
  方法: getField
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: add
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: subtract
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: negate
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: multiply
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: multiply
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: divide
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: reciprocal
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: byteValue
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: shortValue
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: intValue
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: longValue
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: floatValue
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: doubleValue
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: compareTo
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: equals
    参数个数: 1
    代码行数: 8
    圈复杂度: 2

  方法: hashCode
    参数个数: 0
    代码行数: 4
    圈复杂度: 1

  方法: toString
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: isInfinite
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: isNaN
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: getReal
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: add
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: subtract
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: multiply
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: divide
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: remainder
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: remainder
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: abs
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: ceil
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: floor
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: rint
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: round
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: signum
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: copySign
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: copySign
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: scalb
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: hypot
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: sqrt
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: cbrt
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: rootN
    参数个数: 1
    代码行数: 7
    圈复杂度: 2

  方法: pow
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: pow
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: pow
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: exp
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: expm1
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: log
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: log1p
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: log10
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: cos
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: sin
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: tan
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: acos
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: asin
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: atan
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: atan2
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: cosh
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: sinh
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: tanh
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: acosh
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: asinh
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: atanh
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: linearCombination
    参数个数: 2
    代码行数: 12
    圈复杂度: 3

  方法: linearCombination
    参数个数: 2
    代码行数: 10
    圈复杂度: 3

  方法: linearCombination
    参数个数: 4
    代码行数: 5
    圈复杂度: 1

  方法: linearCombination
    参数个数: 4
    代码行数: 5
    圈复杂度: 1

  方法: linearCombination
    参数个数: 6
    代码行数: 6
    圈复杂度: 1

  方法: linearCombination
    参数个数: 6
    代码行数: 6
    圈复杂度: 1

  方法: linearCombination
    参数个数: 8
    代码行数: 7
    圈复杂度: 1

  方法: linearCombination
    参数个数: 8
    代码行数: 7
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.Decimal64Field (共4个方法):
该类的圈复杂度: 4       注释率: 30%
  方法: getInstance
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: getZero
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: getOne
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: getRuntimeClass
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.Decimal64Test (共9个方法):
该类的圈复杂度: 9       注释率: 0%
  方法: build
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: testAdd
    参数个数: 0
    代码行数: 70
    圈复杂度: 1

  方法: testSubtract
    参数个数: 0
    代码行数: 64
    圈复杂度: 1

  方法: testNegate
    参数个数: 0
    代码行数: 32
    圈复杂度: 1

  方法: testMultiply
    参数个数: 0
    代码行数: 74
    圈复杂度: 1

  方法: testDivide
    参数个数: 0
    代码行数: 92
    圈复杂度: 1

  方法: testReciprocal
    参数个数: 0
    代码行数: 20
    圈复杂度: 1

  方法: testIsInfinite
    参数个数: 0
    代码行数: 10
    圈复杂度: 1

  方法: testIsNaN
    参数个数: 0
    代码行数: 10
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince54FieldIntegratorTest (共13个方法):
该类的圈复杂度: 13       注释率: 4%
  方法: createIntegrator
    参数个数: 5
    代码行数: 3
    圈复杂度: 1

  方法: createIntegrator
    参数个数: 5
    代码行数: 3
    圈复杂度: 1

  方法: testNonFieldIntegratorConsistency
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testSanityChecks
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testBackward
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testKepler
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testForwardBackwardExceptions
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testMinStep
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testIncreasingTolerance
    参数个数: 0
    代码行数: 6
    圈复杂度: 1

  方法: testEvents
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testEventsErrors
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testEventsNoConvergence
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testPartialDerivatives
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince54FieldStepInterpolatorTest (共5个方法):
该类的圈复杂度: 5       注释率: 0%
  方法: createInterpolator
    参数个数: 8
    代码行数: 6
    圈复杂度: 1

  方法: createButcherArrayProvider
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: interpolationAtBounds
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: interpolationInside
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: nonFieldInterpolatorConsistency
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince54IntegratorTest (共8个方法):
该类的圈复杂度: 10       注释率: 1%
  方法: testDimensionCheck
    参数个数: 0
    代码行数: 8
    圈复杂度: 1

  方法: testMinStep
    参数个数: 0
    代码行数: 18
    圈复杂度: 1

  方法: testSmallLastStep
    参数个数: 0
    代码行数: 22
    圈复杂度: 1

  方法: testBackward
    参数个数: 0
    代码行数: 21
    圈复杂度: 1

  方法: testIncreasingTolerance
    参数个数: 0
    代码行数: 37
    圈复杂度: 2

  方法: testEvents
    参数个数: 0
    代码行数: 30
    圈复杂度: 2

  方法: testKepler
    参数个数: 0
    代码行数: 19
    圈复杂度: 1

  方法: testVariableSteps
    参数个数: 0
    代码行数: 16
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince54StepInterpolatorTest (共3个方法):
该类的圈复杂度: 7       注释率: 0%
  方法: derivativesConsistency
    参数个数: 0
    代码行数: 11
    圈复杂度: 1

  方法: serialization
    参数个数: 0
    代码行数: 46
    圈复杂度: 3

  方法: checkClone
    参数个数: 0
    代码行数: 40
    圈复杂度: 3

org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince853FieldIntegratorTest (共13个方法):
该类的圈复杂度: 13       注释率: 4%
  方法: createIntegrator
    参数个数: 5
    代码行数: 3
    圈复杂度: 1

  方法: createIntegrator
    参数个数: 5
    代码行数: 3
    圈复杂度: 1

  方法: testNonFieldIntegratorConsistency
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testSanityChecks
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testBackward
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testKepler
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testForwardBackwardExceptions
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testMinStep
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testIncreasingTolerance
    参数个数: 0
    代码行数: 6
    圈复杂度: 1

  方法: testEvents
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testEventsErrors
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testEventsNoConvergence
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: testPartialDerivatives
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince853FieldStepInterpolatorTest (共5个方法):
该类的圈复杂度: 5       注释率: 0%
  方法: createInterpolator
    参数个数: 8
    代码行数: 6
    圈复杂度: 1

  方法: createButcherArrayProvider
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: interpolationAtBounds
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: interpolationInside
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: nonFieldInterpolatorConsistency
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince853IntegratorTest (共12个方法):
该类的圈复杂度: 18       注释率: 2%
  方法: testMissedEndEvent
    参数个数: 0
    代码行数: 63
    圈复杂度: 5

  方法: testDimensionCheck
    参数个数: 0
    代码行数: 9
    圈复杂度: 1

  方法: testNullIntervalCheck
    参数个数: 0
    代码行数: 9
    圈复杂度: 1

  方法: testMinStep
    参数个数: 0
    代码行数: 18
    圈复杂度: 1

  方法: testIncreasingTolerance
    参数个数: 0
    代码行数: 32
    圈复杂度: 2

  方法: testTooLargeFirstStep
    参数个数: 0
    代码行数: 24
    圈复杂度: 1

  方法: testBackward
    参数个数: 0
    代码行数: 21
    圈复杂度: 1

  方法: testEvents
    参数个数: 0
    代码行数: 29
    圈复杂度: 2

  方法: testKepler
    参数个数: 0
    代码行数: 19
    圈复杂度: 1

  方法: testVariableSteps
    参数个数: 0
    代码行数: 18
